GM,Win %,Home Win %,Road Win %,Points %,Wins,Stanley Cups,Seasons,Teams
Jake Milford,0.402,0.466,0.315,0.499,271,0,9,"['Vancouver Canucks', 'Los Angeles Kings']"
Ned Harkness,0.401,0.556,0.24,0.474,99,0,4,['Detroit Red Wings']
Ron Francis,0.401,0.465,0.351,0.464,173,0,6,"['Seattle Kraken', 'Carolina Hurricanes']"
Mike Smith,0.4,0.484,0.317,0.48,278,0,10,"['Chicago Blackhawks', 'Winnipeg Jets (1979)']"
Phil Maloney,0.4,0.481,0.319,0.478,108,0,4,['Vancouver Canucks']
Sid Salomon III,0.4,0.537,0.263,0.487,64,0,2,['St. Louis Blues']
Sprague Cleghorn,0.396,0.667,0.125,0.469,19,0,1,['Montreal Maroons']
Pierre Gauthier,0.395,0.421,0.356,0.473,283,0,10,"['Anaheim Ducks', 'Ottawa Senators', 'Montréal Canadiens']"
Mike Barnett,0.395,0.449,0.341,0.474,162,0,6,['Phoenix Coyotes']
Andre Savard,0.394,0.425,0.363,0.491,89,0,3,['Montréal Canadiens']
Nick Beverley,0.393,0.476,0.31,0.458,66,0,2,['Los Angeles Kings']
Phil Esposito,0.392,0.413,0.337,0.448,264,0,10,"['Tampa Bay Lightning', 'New York Rangers']"
Cecil Hart,0.391,0.493,0.274,0.465,56,0,4,"['Montréal Canadiens', 'Montreal Maroons']"
Rick Dudley,0.388,0.379,0.325,0.481,193,0,7,"['Ottawa Senators', 'Florida Panthers', 'Tampa Bay Lightning', 'Atlanta Thrashers']"
Kent Hughes,0.387,0.325,0.457,0.44,29,0,2,['Montréal Canadiens']
Wren Blair,0.385,0.464,0.261,0.476,233,0,9,"['Pittsburgh Penguins', 'Minnesota North Stars']"
George Maguire,0.384,0.468,0.3,0.469,204,0,7,['Los Angeles Kings']
Georges Boucher,0.383,0.375,0.213,0.44,28,0,3,"['Montreal Maroons', 'St. Louis Eagles']"
Al Coates,0.382,0.453,0.308,0.456,152,0,5,['Calgary Flames']
Floyd Smith,0.381,0.487,0.275,0.428,61,0,2,['Toronto Maple Leafs']
Patrik Allvin,0.379,0.486,0.5,0.415,36,0,3,"['Pittsburgh Penguins', 'Vancouver Canucks']"
Jason Botterill,0.378,0.444,0.31,0.442,88,0,3,['Buffalo Sabres']
Keith Gretzky,0.375,0.4,0.353,0.469,12,0,1,['Edmonton Oilers']
Steve Tambellini,0.374,0.41,0.339,0.436,138,0,5,['Edmonton Oilers']
Roger Crozier,0.373,0.441,0.303,0.47,25,0,1,['Washington Capitals']
Eddie Johnston,0.373,0.416,0.319,0.432,235,0,8,"['Hartford Whalers', 'Pittsburgh Penguins']"
Percy Thompson,0.373,0.524,0.222,0.377,47,0,5,['Hamilton Tigers']
Mike Milbury,0.371,0.413,0.329,0.438,294,0,11,['New York Islanders']
Odie Cleghorn,0.369,0.429,0.31,0.429,62,0,4,['Pittsburgh Pirates']
John Ferguson Sr.,0.367,0.443,0.297,0.44,344,0,13,"['Winnipeg Jets (1979)', 'New York Rangers']"
Kevyn Adams,0.363,0.372,0.354,0.423,61,0,3,['Buffalo Sabres']
Harry Neale,0.362,0.458,0.267,0.431,87,0,3,['Vancouver Canucks']
Larry Pleau,0.361,0.499,0.387,0.439,508,0,16,"['Hartford Whalers', 'St. Louis Blues']"
Brian Lawton,0.361,0.416,0.309,0.446,57,0,2,['Tampa Bay Lightning']
Craig Button,0.358,0.374,0.341,0.461,88,0,3,['Calgary Flames']
Frederic McLaughlin,0.357,0.418,0.297,0.424,104,0,7,['Chicago Blackhawks']
Pierre Page,0.357,0.421,0.293,0.424,117,0,4,['Quebec Nordiques']
Muzz Patrick,0.356,0.409,0.302,0.443,227,0,10,['New York Rangers']
John Paddock,0.354,0.417,0.283,0.408,69,0,4,['Phoenix Coyotes']
Jack Riley,0.354,0.449,0.246,0.426,130,0,6,"['Pittsburgh Penguins', 'Pittsburgh Penguins']"
Bill Armstrong,0.351,0.347,0.356,0.403,58,0,3,['Arizona Coyotes']
