GM,Win %,Home Win %,Road Win %,Points %,Wins,Seasons,Stanley Cups,Team
Jay Feaster,0.449,0.519,0.376,0.529,92,4,0,Calgary Flames
Eddie Gerard,0.449,0.472,0.427,0.517,80,5,1,Montreal Maroons
Gerry Meehan,0.449,0.548,0.349,0.516,243,7,0,Buffalo Sabres
Garth Snow,0.447,0.48,0.415,0.512,425,12,0,New York Islanders
Doug Risebrough,0.447,0.524,0.369,0.529,293,9,0,Minnesota Wild
Tommy Ivan,0.446,0.536,0.355,0.532,752,23,1,Chicago Blackhawks
Phil Esposito,0.446,0.508,0.383,0.5,107,3,0,New York Rangers
Brian Burke,0.445,0.476,0.415,0.539,219,6,0,Vancouver Canucks
Craig Patrick,0.444,0.519,0.367,0.509,204,6,0,New York Rangers
Emile Francis,0.444,0.521,0.367,0.487,213,6,0,Hartford Whalers
Sid Abel,0.444,0.58,0.307,0.517,272,9,0,Detroit Red Wings
Dave Nonis,0.443,0.557,0.33,0.493,94,3,0,Toronto Maple Leafs
Dave Taylor,0.442,0.497,0.387,0.522,290,9,0,Los Angeles Kings
Jim Rutherford,0.44,0.494,0.385,0.511,655,20,1,Carolina Hurricanes
Cliff Fletcher,0.439,0.526,0.352,0.502,202,6,0,Toronto Maple Leafs
Cliff Fletcher,0.436,0.379,0.5,0.518,24,2,0,Toronto Maple Leafs
Dale Tallon,0.436,0.488,0.384,0.5,143,4,0,Chicago Blackhawks
Jim Benning,0.432,0.47,0.395,0.487,242,8,0,Vancouver Canucks
Maurice Filion,0.432,0.522,0.342,0.499,311,9,0,Quebec Nordiques
Chuck Fletcher,0.43,0.483,0.378,0.497,127,5,0,Philadelphia Flyers
Ron Caron,0.429,0.4,0.458,0.531,21,1,0,St. Louis Blues
Tom Rowe,0.427,0.463,0.39,0.494,35,1,0,Florida Panthers
Eddie Gerard,0.427,0.521,0.333,0.516,41,2,0,Montreal Maroons
Jim Gregory,0.424,0.52,0.327,0.506,334,10,0,Toronto Maple Leafs
Rogie Vachon,0.424,0.496,0.351,0.483,283,9,0,Los Angeles Kings
Rejean Houle,0.423,0.46,0.387,0.499,180,6,0,Montréal Canadiens
Brian Burke,0.422,0.438,0.405,0.49,129,4,0,Toronto Maple Leafs
Ray Shero,0.422,0.452,0.392,0.487,157,5,0,New Jersey Devils
Lester Patrick,0.421,0.467,0.375,0.505,395,20,3,New York Rangers
Bryan Murray,0.421,0.5,0.341,0.521,69,2,0,Anaheim Ducks
Bob Pulford,0.42,0.537,0.304,0.495,437,13,0,Chicago Blackhawks
Wren Blair,0.419,0.538,0.302,0.5,44,2,0,Pittsburgh Penguins
Tommy Gorman,0.417,0.479,0.354,0.495,80,4,1,Montreal Maroons
Russ Farwell,0.415,0.5,0.329,0.479,136,4,0,Philadelphia Flyers
Rick Dudley,0.415,0.415,0.415,0.488,34,1,0,Atlanta Thrashers
Ron Francis,0.415,0.484,0.346,0.5,130,4,0,Carolina Hurricanes
John Chayka,0.415,0.455,0.375,0.475,131,4,0,Arizona Coyotes
Pat Quinn,0.413,0.457,0.368,0.475,328,11,0,Vancouver Canucks
Scott Howson,0.411,0.477,0.344,0.481,174,6,0,Columbus Blue Jackets
Tom Fitzgerald,0.409,0.408,0.411,0.469,79,4,0,New Jersey Devils
Mike Keenan,0.406,0.529,0.267,0.5,13,1,0,Vancouver Canucks
Lou Nanne,0.403,0.484,0.322,0.487,334,11,0,Minnesota North Stars
Mike Smith,0.403,0.484,0.323,0.496,102,4,0,Chicago Blackhawks
Pierre Dorion,0.403,0.453,0.351,0.458,195,7,0,Ottawa Senators
Bryan Murray,0.403,0.451,0.355,0.496,199,7,0,Florida Panthers
Don Maloney,0.402,0.462,0.342,0.458,96,4,0,New York Islanders
Ned Harkness,0.401,0.556,0.24,0.474,99,4,0,Detroit Red Wings
Cecil Hart,0.4,0.4,0.4,0.45,8,1,0,Montreal Maroons
Darcy Regier,0.4,0.5,0.333,0.4,2,1,0,New York Islanders
Phil Maloney,0.4,0.481,0.319,0.478,108,4,0,Vancouver Canucks
Sid Salomon III,0.4,0.537,0.263,0.487,64,2,0,St. Louis Blues
Mike Smith,0.397,0.484,0.314,0.464,176,6,0,Winnipeg Jets (1979)
Sprague Cleghorn,0.396,0.667,0.125,0.469,19,1,0,Montreal Maroons
Eddie Johnston,0.396,0.4,0.392,0.465,95,3,0,Hartford Whalers
Mike Barnett,0.395,0.449,0.341,0.474,162,6,0,Phoenix Coyotes
Jack Ferreira,0.394,0.537,0.25,0.456,63,2,0,Minnesota North Stars
Andre Savard,0.394,0.425,0.363,0.491,89,3,0,Montréal Canadiens
Nick Beverley,0.393,0.476,0.31,0.458,66,2,0,Los Angeles Kings
Bobby Clarke,0.393,0.357,0.429,0.494,33,1,0,Florida Panthers
Randy Sexton,0.39,0.39,0.39,0.469,32,1,0,Florida Panthers
Sid Abel,0.388,0.5,0.28,0.466,57,2,0,St. Louis Blues
Ron Francis,0.387,0.411,0.364,0.428,43,2,0,Seattle Kraken
Punch Imlach,0.387,0.381,0.393,0.452,65,3,0,Toronto Maple Leafs
Kent Hughes,0.387,0.325,0.457,0.44,29,2,0,Montréal Canadiens
Jack Ferreira,0.386,0.434,0.339,0.444,146,5,0,Anaheim Ducks
Jack Riley,0.385,0.541,0.23,0.449,57,3,0,Pittsburgh Penguins
George Maguire,0.384,0.468,0.3,0.469,204,7,0,Los Angeles Kings
Tommy Gorman,0.384,0.528,0.243,0.5,28,2,1,Chicago Blackhawks
Al Coates,0.382,0.453,0.308,0.456,152,5,0,Calgary Flames
Cecil Hart,0.381,0.508,0.254,0.48,48,3,0,Montréal Canadiens
Floyd Smith,0.381,0.487,0.275,0.428,61,2,0,Toronto Maple Leafs
Jason Botterill,0.378,0.444,0.31,0.442,88,3,0,Buffalo Sabres
Don Waddell,0.376,0.405,0.346,0.443,308,11,0,Atlanta Thrashers
Keith Gretzky,0.375,0.4,0.353,0.469,12,1,0,Edmonton Oilers
Pierre Gauthier,0.375,0.427,0.323,0.459,123,4,0,Anaheim Ducks
Steve Tambellini,0.374,0.41,0.339,0.436,138,5,0,Edmonton Oilers
Roger Crozier,0.373,0.441,0.303,0.47,25,1,0,Washington Capitals
Percy Thompson,0.373,0.524,0.222,0.377,47,5,0,Hamilton Tigers
John Ferguson Sr.,0.372,0.448,0.295,0.438,271,10,0,Winnipeg Jets (1979)
Mike Milbury,0.371,0.413,0.329,0.438,294,11,0,New York Islanders
Dean Lombardi,0.371,0.419,0.324,0.441,320,11,0,San Jose Sharks
Jimmy Skinner,0.37,0.545,0.25,0.426,10,1,0,Detroit Red Wings
Eddie Gerard,0.37,0.457,0.283,0.467,34,2,0,New York Americans
Bobby Clarke,0.369,0.487,0.25,0.431,59,2,0,Minnesota North Stars
Odie Cleghorn,0.369,0.429,0.31,0.429,62,4,0,Pittsburgh Pirates
Emile Francis,0.368,0.482,0.254,0.445,206,7,0,St. Louis Blues
Baz Bastien,0.366,0.494,0.237,0.448,193,7,0,Pittsburgh Penguins
Lynn Patrick,0.365,0.486,0.243,0.473,27,1,0,St. Louis Blues
Jim Devellano,0.364,0.453,0.275,0.432,233,8,0,Detroit Red Wings
Kevyn Adams,0.363,0.372,0.354,0.423,61,3,0,Buffalo Sabres
John Ferguson Sr.,0.363,0.424,0.304,0.443,73,3,0,New York Rangers
Harry Neale,0.362,0.458,0.267,0.431,87,3,0,Vancouver Canucks
Brian Lawton,0.361,0.416,0.309,0.446,57,2,0,Tampa Bay Lightning
Craig Button,0.358,0.374,0.341,0.461,88,3,0,Calgary Flames
Frederic McLaughlin,0.357,0.418,0.297,0.424,104,7,0,Chicago Blackhawks
Pierre Page,0.357,0.421,0.293,0.424,117,4,0,Quebec Nordiques
Muzz Patrick,0.356,0.409,0.302,0.443,227,10,0,New York Rangers
John Paddock,0.354,0.417,0.283,0.408,69,4,0,Phoenix Coyotes
Tommy Gorman,0.351,0.345,0.357,0.423,59,4,0,New York Americans
Bill Armstrong,0.351,0.347,0.356,0.403,58,3,0,Arizona Coyotes
Wren Blair,0.351,0.45,0.253,0.452,189,7,0,Minnesota North Stars
Tim Murray,0.35,0.383,0.317,0.414,100,4,0,Buffalo Sabres
Eddie Johnston,0.35,0.425,0.275,0.4,140,5,0,Pittsburgh Penguins
Doug MacLean,0.35,0.451,0.248,0.413,172,7,0,Columbus Blue Jackets
Larry Gordon,0.35,0.425,0.275,0.431,28,1,0,Edmonton Oilers
Pierre Gauthier,0.347,0.36,0.333,0.425,76,3,0,Ottawa Senators
Bob Murray,0.34,0.376,0.305,0.423,64,3,0,Chicago Blackhawks
Steve Yzerman,0.34,0.405,0.274,0.406,81,4,0,Detroit Red Wings
Phil Esposito,0.338,0.364,0.313,0.397,157,7,0,Tampa Bay Lightning
Charles Catto,0.338,0.41,0.263,0.416,26,1,0,St. Louis Blues
Kyle Davidson,0.337,0.333,0.34,0.409,35,2,0,Chicago Blackhawks
Cliff Fletcher,0.333,0.385,0.273,0.458,8,1,0,Phoenix Coyotes
Lynn Patrick,0.333,0.333,0.333,0.333,3,1,0,St. Louis Blues
Frank Selke Jr.,0.331,0.434,0.229,0.413,55,3,0,California Golden Seals
Hap Day,0.33,0.429,0.231,0.45,69,3,0,Toronto Maple Leafs
Craig MacTavish,0.328,0.368,0.286,0.395,56,3,0,Edmonton Oilers
Frank Boucher,0.326,0.41,0.243,0.425,199,10,0,New York Rangers
Jake Milford,0.325,0.395,0.255,0.429,130,5,0,Vancouver Canucks
Lynn Patrick,0.325,0.418,0.231,0.412,250,11,0,Boston Bruins
Jack Gordon,0.325,0.425,0.225,0.391,52,2,0,Vancouver Canucks
Gord Stellick,0.324,0.392,0.259,0.357,34,2,0,Toronto Maple Leafs
Ted Lindsay,0.324,0.411,0.238,0.406,81,4,0,Detroit Red Wings
Jack Riley,0.323,0.389,0.257,0.403,73,3,0,Pittsburgh Penguins
Mike Grier,0.323,0.188,0.467,0.403,10,1,0,San Jose Sharks
Sam McMaster,0.321,0.387,0.255,0.41,68,3,0,Los Angeles Kings
Bill Tobin,0.321,0.397,0.246,0.392,327,18,1,Chicago Blackhawks
Paul Holmgren,0.321,0.333,0.31,0.375,27,1,0,Hartford Whalers
Lionel Conacher,0.318,0.5,0.136,0.375,14,1,0,New York Americans
