Coach,Win %,Home Win %,Road Win %,Points %,Games,Wins,Seasons,Stanley Cups,Teams
Robbie Ftorek,0.358,0.444,0.264,0.358,7,10,4,0,"['New Jersey Devils', 'Boston Bruins', 'Los Angeles Kings']"
Ron Low,0.357,0.25,0.438,0.357,28,10,3,0,['Edmonton Oilers']
Bob Hartley,0.356,0.473,0.257,0.356,80,54,6,1,"['Colorado Avalanche', 'Calgary Flames', 'Atlanta Thrashers']"
Dean Evason,0.353,0.25,0.444,0.353,17,6,3,0,['Minnesota Wild']
Terry Murray,0.351,0.319,0.384,0.351,46,50,10,0,"['Philadelphia Flyers', 'Washington Capitals', 'Los Angeles Kings', 'Florida Panthers']"
Eddie Gerard,0.346,0.214,0.567,0.441,19,11,5,1,"['Montreal Maroons', 'Montreal Maroons']"
Bob Pulford,0.341,0.414,0.265,0.341,15,28,10,0,"['Chicago Blackhawks', 'Los Angeles Kings', 'Chicago Blackhawks', 'Chicago Blackhawks']"
Dave Tippett,0.339,0.339,0.347,0.339,47,34,10,0,"['Dallas Stars', 'Phoenix Coyotes', 'Edmonton Oilers']"
Brian Sutter,0.335,0.283,0.365,0.335,41,28,8,0,"['St. Louis Blues', 'Boston Bruins', 'Chicago Blackhawks']"
Larry Robinson,0.323,0.271,0.375,0.323,48,31,3,1,"['New Jersey Devils', 'Los Angeles Kings']"
Dit Clapper,0.32,0.417,0.231,0.32,25,8,4,0,['Boston Bruins']
Emile Francis,0.318,0.443,0.195,0.318,10,39,11,0,"['St. Louis Blues', 'New York Rangers', 'St. Louis Blues']"
Bob Berry,0.306,0.324,0.303,0.306,15,11,7,0,"['St. Louis Blues', 'Montréal Canadiens', 'Los Angeles Kings']"
Sid Abel,0.292,0.405,0.201,0.292,65,32,9,0,"['Detroit Red Wings', 'Chicago Blackhawks', 'Detroit Red Wings']"
Bob Gainey,0.285,0.2,0.375,0.285,44,25,6,0,"['Dallas Stars', 'Montréal Canadiens', 'Montréal Canadiens']"
Bob McCammon,0.264,0.333,0.225,0.264,7,4,4,0,"['Vancouver Canucks', 'Philadelphia Flyers']"
Craig Hartsburg,0.25,0.312,0.188,0.25,16,8,3,0,"['Chicago Blackhawks', 'Anaheim Ducks']"
Phil Watson,0.25,0.333,0.2,0.25,16,4,3,0,['New York Rangers']
Punch Imlach,0.247,0.315,0.174,0.247,89,44,11,4,"['Toronto Maple Leafs', 'Toronto Maple Leafs']"
John Stevens,0.239,0.3,0.192,0.239,23,11,3,0,"['Philadelphia Flyers', 'Los Angeles Kings']"
Craig Patrick,0.233,0.405,0.095,0.233,14,8,3,0,"['New York Rangers', 'Pittsburgh Penguins', 'New York Rangers']"
Harry Neale,0.225,0.375,0.083,0.225,4,3,4,0,"['Vancouver Canucks', 'Vancouver Canucks']"
Pierre Page,0.222,0.422,0.048,0.222,12,6,4,0,"['Minnesota North Stars', 'Quebec Nordiques', 'Calgary Flames']"
Andy Murray,0.208,0.273,0.154,0.208,24,10,4,0,"['Los Angeles Kings', 'St. Louis Blues']"
John Hynes,0.207,0.464,0.0,0.207,14,4,4,0,"['Nashville Predators', 'New Jersey Devils']"
Newsy Lalonde,0.194,0.333,0.125,0.375,12,7,5,0,"['Montréal Canadiens', 'Montréal Canadiens', 'Ottawa Senators (1917)']"
King Clancy,0.143,0.167,0.125,0.143,14,2,3,0,['Toronto Maple Leafs']
Fred Creighton,0.111,0.25,0.0,0.111,9,1,4,0,['Atlanta Flames']
Tom Watt,0.071,0.167,0.0,0.071,7,1,3,0,"['Winnipeg Jets (1979)', 'Vancouver Canucks']"
