Coach,Win %,Home Win %,Road Win %,Points %,Games,Wins,Seasons,Stanley Cups,Teams
Jack Capuano,0.47,0.47,0.47,0.536,483,227,7,0,['New York Islanders']
Eddie Powers,0.47,0.636,0.303,0.492,66,31,2,0,['Toronto St. Patricks']
Tony Granato,0.466,0.496,0.436,0.534,133,104,3,0,"['Colorado Avalanche', 'Colorado Avalanche']"
Lester Patrick,0.465,0.497,0.434,0.554,604,281,13,2,['New York Rangers']
Orval Tessier,0.465,0.623,0.308,0.514,213,99,3,0,['Chicago Blackhawks']
Lindy Ruff,0.464,0.492,0.436,0.526,328,803,22,0,"['Dallas Stars', 'Buffalo Sabres', 'New Jersey Devils']"
Leo Dandurand,0.463,0.615,0.321,0.498,131,78,6,1,"['Montréal Canadiens', 'Montréal Canadiens']"
Paul Maurice,0.462,0.516,0.408,0.528,164,789,25,0,"['Toronto Maple Leafs', 'Carolina Hurricanes', 'Carolina Hurricanes', 'Winnipeg Jets', 'Florida Panthers']"
Joe Primeau,0.462,0.533,0.391,0.562,210,97,3,1,['Toronto Maple Leafs']
Jacques Martin,0.461,0.51,0.41,0.534,196,613,17,0,"['Montréal Canadiens', 'St. Louis Blues', 'Ottawa Senators', 'Florida Panthers']"
Pat Quinn,0.461,0.547,0.375,0.515,574,684,20,0,"['Toronto Maple Leafs', 'Los Angeles Kings', 'Philadelphia Flyers', 'Vancouver Canucks', 'Vancouver Canucks', 'Edmonton Oilers']"
Bernie Geoffrion,0.461,0.608,0.316,0.537,30,114,5,0,"['Montréal Canadiens', 'New York Rangers', 'Atlanta Flames']"
Ron Wilson,0.457,0.503,0.411,0.525,310,648,18,0,"['Toronto Maple Leafs', 'Washington Capitals', 'San Jose Sharks', 'Anaheim Ducks']"
Guy Boucher,0.455,0.522,0.387,0.509,228,191,6,0,"['Ottawa Senators', 'Tampa Bay Lightning']"
Bob McCammon,0.455,0.549,0.363,0.532,50,221,8,0,"['Philadelphia Flyers', 'Philadelphia Flyers', 'Vancouver Canucks']"
Andy Murray,0.453,0.49,0.415,0.536,480,333,10,0,"['Los Angeles Kings', 'St. Louis Blues']"
Al MacNeil,0.452,0.416,0.43,0.54,55,138,5,1,"['Montréal Canadiens', 'Calgary Flames', 'Calgary Flames']"
Steve Stirling,0.452,0.557,0.349,0.52,124,56,2,0,['New York Islanders']
Bill Mahoney,0.452,0.5,0.4,0.516,93,42,2,0,['Minnesota North Stars']
Marc Crawford,0.451,0.513,0.394,0.517,164,556,16,1,"['Los Angeles Kings', 'Dallas Stars', 'Vancouver Canucks', 'Colorado Avalanche', 'Ottawa Senators']"
Brad Shaw,0.45,0.524,0.368,0.5,40,18,1,0,['New York Islanders']
Bryan Murray,0.45,0.507,0.394,0.517,244,620,17,0,"['Detroit Red Wings', 'Washington Capitals', 'Ottawa Senators', 'Anaheim Ducks', 'Florida Panthers']"
