Coach,Win %,Home Win %,Road Win %,Points %,Games,Wins,Seasons,Stanley Cups,Teams
Doug Carpenter,0.345,0.441,0.248,0.386,290,100,4,0,['New Jersey Devils']
Frank Boucher,0.343,0.403,0.283,0.422,487,167,10,1,['New York Rangers']
Bobby Kromm,0.342,0.431,0.252,0.431,231,79,3,0,['Detroit Red Wings']
Harry Neale,0.337,0.404,0.27,0.44,315,106,4,0,['Vancouver Canucks']
Alex Delvecchio,0.335,0.464,0.2,0.4,245,82,4,0,['Detroit Red Wings']
Nick Polano,0.329,0.425,0.233,0.4,240,79,3,0,['Detroit Red Wings']
Glen Hanlon,0.326,0.369,0.282,0.406,239,78,4,0,['Washington Capitals']
Milt Schmidt,0.324,0.423,0.226,0.404,460,245,11,0,"['Boston Bruins', 'Boston Bruins']"
Mike Nykoluk,0.318,0.407,0.229,0.402,280,89,4,0,['Toronto Maple Leafs']
Fred Glover,0.27,0.388,0.152,0.344,355,96,6,0,['Oakland Seals']
Tom McVie,0.24,0.314,0.167,0.321,204,49,3,0,['Washington Capitals']
Curt Fraser,0.229,0.259,0.2,0.312,279,64,4,0,['Atlanta Thrashers']
Rick Bowness,0.166,0.209,0.125,0.204,235,39,4,0,['Ottawa Senators']
