Coach,Team,Win %,Home Win %,Road Win %,Points %,Wins,Seasons,Stanley Cups
Peter Laviolette,Philadelphia Flyers,0.533,0.56,0.507,0.586,145,5,0
Jared Bednar,Colorado Avalanche,0.533,0.594,0.473,0.583,252,7,1
Joel Quenneville,Colorado Avalanche,0.532,0.602,0.463,0.579,131,3,0
Al Arbour,New York Islanders,0.532,0.63,0.433,0.613,552,13,4
Jim Montgomery,Dallas Stars,0.531,0.614,0.446,0.575,60,2,0
Darryl Sutter,Los Angeles Kings,0.529,0.616,0.444,0.592,225,6,2
Randy Carlyle,Anaheim Ducks,0.529,0.602,0.455,0.588,273,7,1
Nick Beverley,Toronto Maple Leafs,0.529,0.5,0.571,0.588,9,1,0
Barry Trotz,New York Islanders,0.528,0.586,0.469,0.587,152,4,0
Patrick Roy,Colorado Avalanche,0.528,0.537,0.52,0.577,130,3,0
Mike Johnston,Pittsburgh Penguins,0.527,0.564,0.491,0.596,58,2,0
Jacques Lemaire,New Jersey Devils,0.526,0.619,0.434,0.602,199,5,1
Paul Maurice,Winnipeg Jets,0.525,0.563,0.487,0.577,315,9,0
Wayne Cashman,Philadelphia Flyers,0.525,0.586,0.469,0.598,32,1,0
Jean Perron,Montréal Canadiens,0.525,0.65,0.4,0.588,126,3,1
Jim Playfair,Calgary Flames,0.524,0.732,0.317,0.585,43,1,0
Pat Quinn,Toronto Maple Leafs,0.523,0.565,0.481,0.591,300,7,0
Emile Francis,New York Rangers,0.523,0.619,0.429,0.602,342,10,0
Jerry LaFlamme,Montreal Maroons,0.523,0.455,0.591,0.58,23,1,0
Bruce Boudreau,Minnesota Wild,0.521,0.569,0.473,0.579,158,4,0
Bob Berry,Montréal Canadiens,0.52,0.577,0.464,0.601,116,3,0
Joel Quenneville,St. Louis Blues,0.518,0.579,0.456,0.598,307,8,0
Larry Robinson,New Jersey Devils,0.518,0.557,0.479,0.606,73,3,1
Peter Laviolette,Carolina Hurricanes,0.517,0.552,0.481,0.57,167,5,1
George O'Donoghue,Toronto St. Patricks,0.517,0.714,0.333,0.534,15,2,1
Gerard Gallant,Florida Panthers,0.516,0.57,0.462,0.583,96,3,0
John Stevens,Los Angeles Kings,0.516,0.542,0.489,0.563,49,2,0
Ken Hitchcock,Philadelphia Flyers,0.516,0.536,0.496,0.614,131,4,0
Sid Abel,Detroit Red Wings,0.513,0.513,0.513,0.615,38,1,0
Bruce Boudreau,Vancouver Canucks,0.513,0.526,0.5,0.596,40,2,0
Ken Hitchcock,Dallas Stars,0.512,0.634,0.39,0.561,42,1,0
Bernie Geoffrion,New York Rangers,0.512,0.619,0.409,0.546,22,1,0
Bob Johnson,Pittsburgh Penguins,0.512,0.625,0.4,0.55,41,1,1
Dave Cameron,Ottawa Senators,0.511,0.543,0.478,0.573,70,2,0
Bryan Murray,Washington Capitals,0.51,0.59,0.432,0.572,343,9,0
Billy Reay,Chicago Blackhawks,0.51,0.611,0.409,0.589,516,14,0
Darryl Sutter,Chicago Blackhawks,0.509,0.528,0.491,0.569,110,3,0
Darryl Sutter,Calgary Flames,0.509,0.589,0.427,0.581,107,3,0
Herb Brooks,Pittsburgh Penguins,0.509,0.6,0.407,0.57,29,1,0
Bryan Murray,Detroit Red Wings,0.508,0.615,0.402,0.568,124,3,0
John Tortorella,Columbus Blue Jackets,0.508,0.558,0.457,0.568,227,6,0
Terry O'Reilly,Boston Bruins,0.507,0.56,0.451,0.564,115,3,0
Rick Bowness,Dallas Stars,0.506,0.552,0.461,0.577,89,3,0
Dave King,Calgary Flames,0.505,0.583,0.426,0.576,109,3,0
Terry Murray,Los Angeles Kings,0.505,0.518,0.492,0.56,139,4,0
Dick Irvin,Toronto Maple Leafs,0.505,0.646,0.364,0.574,215,9,1
Pat Quinn,Vancouver Canucks,0.504,0.562,0.445,0.555,138,4,0
Randy Carlyle,Anaheim Ducks,0.504,0.602,0.411,0.584,111,3,0
Roger Neilson,New York Rangers,0.504,0.586,0.421,0.566,141,4,0
Alain Vigneault,Philadelphia Flyers,0.503,0.554,0.452,0.568,74,3,0
Lindy Ruff,Dallas Stars,0.503,0.549,0.457,0.566,165,4,0
Scotty Bowman,Buffalo Sabres,0.503,0.581,0.427,0.571,163,6,0
Terry Murray,Washington Capitals,0.501,0.533,0.469,0.545,163,5,0
Tom Renney,New York Rangers,0.501,0.559,0.446,0.572,164,5,0
John Stevens,Los Angeles Kings,0.5,,0.5,0.5,2,1,0
Pat Quinn,Vancouver Canucks,0.5,0.667,0.333,0.5,3,1,0
Roger Neilson,Ottawa Senators,0.5,0.5,,0.5,1,1,0
Glen Gulutzan,Calgary Flames,0.5,0.5,0.5,0.543,82,2,0
Dale Hunter,Washington Capitals,0.5,0.6,0.4,0.558,30,1,0
Adam Oates,Washington Capitals,0.5,0.554,0.446,0.565,65,2,0
George Boucher,Montreal Maroons,0.5,0.667,0.333,0.542,6,1,0
Jules Dugal,Montréal Canadiens,0.5,0.556,0.444,0.583,9,1,0
John Ferguson Sr.,Winnipeg Jets (1979),0.5,0.625,0.333,0.536,7,1,0
Bernie Geoffrion,Montréal Canadiens,0.5,0.733,0.267,0.6,15,1,0
Punch Imlach,Toronto Maple Leafs,0.5,0.5,0.5,0.5,5,1,0
Billy Inglis,Buffalo Sabres,0.5,0.5,0.5,0.589,28,1,0
Frank Patrick,Boston Bruins,0.5,0.667,0.333,0.562,48,2,0
Marcel Pronovost,Buffalo Sabres,0.5,0.577,0.423,0.611,52,2,0
Rogie Vachon,Los Angeles Kings,0.5,,0.5,0.75,1,1,0
Art Ross,Boston Bruins,0.498,0.623,0.372,0.562,214,10,1
Jimmy Skinner,Detroit Red Wings,0.498,0.61,0.387,0.591,123,4,1
Roger Neilson,Philadelphia Flyers,0.497,0.564,0.429,0.595,92,3,0
Guy Boucher,Tampa Bay Lightning,0.497,0.592,0.402,0.549,97,3,0
Michel Therrien,Pittsburgh Penguins,0.496,0.547,0.444,0.555,135,4,0
Mike Yeo,Minnesota Wild,0.496,0.549,0.443,0.559,173,5,0
Jacques Lemaire,Montréal Canadiens,0.495,0.592,0.396,0.557,48,2,0
Jacques Martin,Ottawa Senators,0.493,0.523,0.462,0.577,341,9,0
Mike Babcock,Toronto Maple Leafs,0.493,0.525,0.46,0.557,173,5,0
Doug Risebrough,Calgary Flames,0.493,0.623,0.373,0.552,71,2,0
Robbie Ftorek,Los Angeles Kings,0.492,0.606,0.379,0.534,65,2,0
Glen Gulutzan,Dallas Stars,0.492,0.508,0.477,0.527,64,2,0
Red Berenson,St. Louis Blues,0.492,0.63,0.353,0.57,98,3,0
Jacques Martin,Montréal Canadiens,0.49,0.495,0.484,0.554,96,3,0
Lindy Ruff,Buffalo Sabres,0.49,0.544,0.436,0.56,571,15,0
Robbie Ftorek,Boston Bruins,0.49,0.564,0.416,0.577,76,2,0
Scott Gordon,Philadelphia Flyers,0.49,0.518,0.458,0.529,25,1,0
Davis Payne,St. Louis Blues,0.489,0.594,0.397,0.544,67,3,0
Ivan Hlinka,Pittsburgh Penguins,0.488,0.545,0.429,0.558,42,2,0
Todd Richards,Columbus Blue Jackets,0.488,0.504,0.473,0.529,127,5,0
Leo Dandurand,Montréal Canadiens,0.488,0.631,0.348,0.511,64,5,1
Charles Querrie,Toronto St. Patricks,0.488,0.682,0.286,0.5,21,2,0
Bob Boughner,Florida Panthers,0.488,0.573,0.402,0.555,80,2,0
Roger Neilson,Buffalo Sabres,0.487,0.525,0.45,0.619,39,1,0
