Coach,Team,Win %,Home Win %,Road Win %,Points %,Wins,Seasons,Stanley Cups
Mike Smith,Winnipeg Jets (1979),0.087,0.154,,0.174,2,1,0
Larry Wilson,Detroit Red Wings,0.083,0.167,,0.139,3,1,0
Dave Allison,Ottawa Senators,0.08,,0.133,0.1,2,1,0
Jim Anderson,Washington Capitals,0.074,0.154,,0.12,4,1,0
Eddie Bush,Kansas City Scouts,0.031,0.059,,0.156,1,1,0
Craig MacTavish,Edmonton Oilers,0.0,,,0.2,0,1,0
John Tortorella,New York Rangers,0.0,,,0.125,0,1,0
Rick Paterson,Tampa Bay Lightning,0.0,,,,0,1,0
Gary Agnew,Columbus Blue Jackets,0.0,,,0.1,0,1,0
Sid Abel,Kansas City Scouts,0.0,,,,0,1,0
Roger Crozier,Washington Capitals,0.0,,,,0,1,0
Dick Duff,Toronto Maple Leafs,0.0,,,,0,1,0
Phil Esposito,New York Rangers,0.0,,,,0,1,0
Jacques Laperriere,Montréal Canadiens,0.0,,,,0,1,0
Muzz Patrick,New York Rangers,0.0,,,0.25,0,1,0
Mike Rodden,Toronto St. Patricks,0.0,,,,0,1,0
Floyd Smith,Buffalo Sabres,0.0,,,,0,1,0
Glen Sonmor,Minnesota North Stars,0.0,,,0.25,0,1,0
Rogie Vachon,Los Angeles Kings,0.0,,,,0,1,0
Ryan Huska,Calgary Flames,0.0,,,0.25,0,1,0
