Coach,Team,Win %,Home Win %,Road Win %,Points %,Wins,Seasons,Stanley Cups
Terry Simpson,New York Islanders,0.45,0.333,0.545,0.45,9,2,0
Jacques Martin,Ottawa Senators,0.449,0.545,0.361,0.449,31,8,0
Roger Neilson,New York Rangers,0.448,0.562,0.308,0.448,13,3,0
Cecil Hart,Montréal Canadiens,0.448,0.533,0.357,0.517,13,6,2
Dave Tippett,Dallas Stars,0.447,0.435,0.458,0.447,21,5,0
Sid Abel,Detroit Red Wings,0.446,0.548,0.353,0.446,29,7,0
Pat Burns,Boston Bruins,0.444,0.444,0.444,0.444,8,2,0
Jeremy Colliton,Chicago Blackhawks,0.444,0.75,0.2,0.444,4,1,0
Paul Maurice,Carolina Hurricanes,0.444,0.5,0.4,0.444,8,1,0
Murray Oliver,Minnesota North Stars,0.444,0.75,0.2,0.444,4,1,0
Dave Tippett,Phoenix Coyotes,0.444,0.333,0.583,0.444,12,3,0
Rick Tocchet,Arizona Coyotes,0.444,0.75,0.2,0.444,4,1,0
Gerry Cheevers,Boston Bruins,0.441,0.579,0.267,0.441,15,4,0
Milt Schmidt,Boston Bruins,0.441,0.588,0.294,0.441,15,4,0
Jack Gordon,Minnesota North Stars,0.44,0.538,0.333,0.44,11,3,0
Kevin Constantine,San Jose Sharks,0.44,0.455,0.429,0.44,11,2,0
Bill Mahoney,Minnesota North Stars,0.438,0.556,0.286,0.438,7,1,0
Claude Julien,Montréal Canadiens,0.438,0.375,0.5,0.438,7,2,0
Jacques Martin,St. Louis Blues,0.438,0.625,0.25,0.438,7,2,0
Al MacNeil,Calgary Flames,0.435,0.636,0.25,0.435,10,3,0
John Tortorella,New York Rangers,0.432,0.571,0.304,0.432,19,4,0
Mike Sullivan,Boston Bruins,0.429,0.5,0.333,0.429,3,1,0
Sid Abel,Chicago Blackhawks,0.429,0.667,0.25,0.429,3,1,0
Bob McCammon,Vancouver Canucks,0.429,0.667,0.25,0.429,3,1,0
Tom McVie,New Jersey Devils,0.429,0.5,0.375,0.429,6,2,0
Randy Carlyle,Toronto Maple Leafs,0.429,0.333,0.5,0.429,3,1,0
Bob Murdoch,Winnipeg Jets (1979),0.429,0.667,0.25,0.429,3,1,0
Darryl Sutter,San Jose Sharks,0.429,0.45,0.409,0.429,18,5,0
Robbie Ftorek,New Jersey Devils,0.429,0.5,0.333,0.429,3,1,0
Don Hay,Phoenix Coyotes,0.429,0.667,0.25,0.429,3,1,0
Doug Risebrough,Calgary Flames,0.429,0.5,0.333,0.429,3,1,0
Jim Roberts,Hartford Whalers,0.429,1.0,,0.429,3,1,0
Art Ross,Boston Bruins,0.429,0.455,0.4,0.429,9,3,0
Kevin Dineen,Florida Panthers,0.429,0.5,0.333,0.429,3,1,0
Adam Oates,Washington Capitals,0.429,0.75,,0.429,3,1,0
Eddie Johnston,Chicago Blackhawks,0.429,0.5,0.333,0.429,3,1,0
Patrick Roy,Colorado Avalanche,0.429,0.75,,0.429,3,1,0
Tom Webster,Los Angeles Kings,0.429,0.571,0.286,0.429,12,3,0
Todd McLellan,Los Angeles Kings,0.429,0.333,0.5,0.429,3,1,0
Craig Berube,Philadelphia Flyers,0.429,0.667,0.25,0.429,3,1,0
Red Kelly,Pittsburgh Penguins,0.429,0.571,0.286,0.429,6,2,0
Bobby Kromm,Detroit Red Wings,0.429,0.333,0.5,0.429,3,1,0
Ken Hitchcock,St. Louis Blues,0.425,0.458,0.391,0.425,20,5,0
Bob Pulford,Los Angeles Kings,0.423,0.615,0.231,0.423,11,4,0
Darryl Sutter,Chicago Blackhawks,0.423,0.538,0.308,0.423,11,3,0
Sheldon Keefe,Toronto Maple Leafs,0.421,0.364,0.5,0.421,8,3,0
Roger Neilson,Toronto Maple Leafs,0.421,0.556,0.3,0.421,8,2,0
Joel Quenneville,Colorado Avalanche,0.421,0.333,0.5,0.421,8,2,0
Kevin Constantine,Pittsburgh Penguins,0.421,0.444,0.4,0.421,8,2,0
John Tortorella,Columbus Blue Jackets,0.419,0.357,0.471,0.419,13,4,0
Guy Carbonneau,Montréal Canadiens,0.417,0.571,0.2,0.417,5,1,0
Ted Nolan,Buffalo Sabres,0.417,0.286,0.6,0.417,5,1,0
Jim Schoenfeld,Washington Capitals,0.417,0.545,0.308,0.417,10,3,0
Jack Capuano,New York Islanders,0.417,0.455,0.385,0.417,10,3,0
Darryl Sutter,Calgary Flames,0.417,0.571,0.2,0.417,5,1,0
Andy Murray,Los Angeles Kings,0.417,0.545,0.308,0.417,10,3,0
Paul Maurice,Winnipeg Jets,0.41,0.35,0.474,0.41,16,5,0
Bob Pulford,Chicago Blackhawks,0.409,0.417,0.4,0.409,9,3,0
Scotty Bowman,Buffalo Sabres,0.409,0.6,0.25,0.409,9,4,0
